"","MOLECULE_NAME","SMILES","STRUCTURE","FDA_APPROVED"
"28","BMS536924","Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1","http://data.lincscloud.org/pert_images/BRD-K34581968.png",FALSE
"29","BMS754807","C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1","http://data.lincscloud.org/pert_images/BRD-K13049116.png",FALSE
"30","BORTEZOMIB","CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O","http://data.lincscloud.org/pert_images/BRD-K50691590.png",TRUE
"31","BOSUTINIB","COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl","http://data.lincscloud.org/pert_images/BRD-K99964838.png",FALSE
"32","BRDK01737880","COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1","http://data.lincscloud.org/pert_images/BRD-K01737880.png",FALSE
"33","BRDK02492147","CN1CCN(CC1)C(=O)C[C@@H]1O[C@H](CO)[C@@H](NS(=O)(=O)c2cccc(F)c2)C=C1","http://data.lincscloud.org/pert_images/BRD-K02492147.png",FALSE
"34","BRDK13999467","C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc3cc(C#Cc4ccccc4F)ccc3S1(=O)=O","http://data.lincscloud.org/pert_images/BRD-K13999467.png",FALSE
"35","BRDK14844214","CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1","http://data.lincscloud.org/pert_images/BRD-K14844214.png",FALSE
"36","BRDK27224038","C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc3ncc(C#CC4(O)CCCC4)cc3C1=O","http://data.lincscloud.org/pert_images/BRD-K27224038.png",FALSE
"37","BRDK27986637","C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCCOc3c2)OCc4cn(CCCC1=O)nn4","http://data.lincscloud.org/pert_images/BRD-K27986637.png",FALSE
"38","BRDK33514849","C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O","http://data.lincscloud.org/pert_images/BRD-K33514849.png",FALSE
"39","BRDK49290616","OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1","http://data.lincscloud.org/pert_images/BRD-K49290616.png",FALSE
"40","BRDK50799972","COc1ccccc1-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccncc1","http://data.lincscloud.org/pert_images/BRD-K50799972.png",FALSE
"41","BRDK55116708","C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)Nc5ccccc5)cccc4C1=O","http://data.lincscloud.org/pert_images/BRD-K55116708.png",FALSE
"42","BRDK63431240","C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O","http://data.lincscloud.org/pert_images/BRD-K63431240.png",FALSE
"43","BRDK71935468","COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c5ccccc5OCCO)[C@@H]([C@@H](OC4=O)c6ccccc6)c7ccccc7)C(=O)N8CCN(CC8)c9ncccn9)c2c1)C(=O)OC","http://data.lincscloud.org/pert_images/BRD-K71935468.png",FALSE
"44","BRDK86535717","CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC","http://data.lincscloud.org/pert_images/BRD-K86535717.png",FALSE
"45","BRDK88742110","COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1","http://data.lincscloud.org/pert_images/BRD-K88742110.png",FALSE
"46","BRDK94991378","COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c4ccccc4OCCO)[C@H]([C@H](OC3=O)c5ccccc5)c6ccccc6)C(=O)NCC=C)c7cc(C#CCC(C(=O)OC)C(=O)OC)ccc17","http://data.lincscloud.org/pert_images/BRD-K94991378.png",FALSE
